Date,Fragment.ID,Light_Dark,Temp.Cat,Volume,pH.mv,Temp.probe,Salinity,Temp.InSitu,TA
20171001,BK1-1,Dark,24,620,-23.89,-58.6,37.2,,
20171001,BK1-1,Light,24,610,-59.4,24.29,37.3,,
20171001,BK1-2,Dark,26,610,-56,25.5,37.3,,
20171001,BK1-2,Light,26,595,-58.1,26.01,37.3,,
20171001,BK2-1,Dark,24,600,-23.85,-58.7,37.2,,
20171001,BK2-1,Light,24,610,-59.5,24.23,37.3,,
20171001,BK2-2,Light,26,590,-58.4,25.85,37.3,,
20171001,BK2-2 ,Dark,26,610,-58.7,25.47,37.3,,
20171001,OF1-1,Dark,24,595,-56.5,24.05,37.2,,
20171001,OF1-1,Light,24,590,-61.9,24.26,37.3,,
20171001,OF1-1-SPOT,Dark,24,595,-56.5,24.05,37.2,,
20171001,OF1-1-SPOT,Light,24,590,-61.9,24.26,37.3,,
20171001,OF1-2,Dark,26,560,-56.7,25.64,37.3,,
20171001,OF1-2,Light,26,565,-59,25.84,37.3,,
20171001,OF2-1,Dark,24,565,-56.6,23.97,37.2,,
20171001,OF2-1,Light,24,565,-61.2,24.35,37.3,,
20171001,OF2-2,Dark,26,585,-57.3,25.66,37.3,,
20171001,OF2-2,Light,26,575,-59.3,26,37.3,,
20171001,OF3-1,Dark,24,555,-56.2,24,37.2,,
20171001,OF3-1,Light,24,565,-61.8,24.37,37.3,,
20171001,OF3-2,Dark,26,580,-56,25.67,37.3,,
20171001,OF3-2,Light,26,555,-60.9,25.97,37.3,,
20171001,OF4-1,Dark,24,575,-55.8,24.16,37.2,,
20171001,OF4-1,Light,24,580,-61.6,24.5,37.3,,
20171001,OF4-2,Dark,26,580,-54.9,25.58,37.3,,
20171001,OF4-2,Light,26,575,-61.1,26.09,37.3,,
20171001,start 1a,Light,24,,-56.4,23.74,37.3,23.53,
20171001,start 1a ,Dark,24,,-59.4,23.45,37.2,23.53,
20171001,start 1b,Light,24,,-58.9,23.55,37.3,23.53,
20171001,start 1b ,Dark,24,,-59.5,23.33,37.2,23.53,
20171001,start 1c,Light,24,,-59.6,23.52,37.3,23.53,
20171001,start 1c ,Dark,24,,-59.5,23.31,37.2,23.53,
20171001,start 2a,Dark,26,,-59.6,25.39,,26,
20171001,start 2a,Light,26,,-25.36,-57.3,37.3,26,
20171001,start 2b,Dark,26,,-59.6,25.41,,26,
20171001,start 2b,Light,26,,-25.4,-58,37.3,26,
20171001,start 2c,Light,26,,-25.48,-58.4,37.3,26,
20171001,start 2c ,Dark,26,,-59.6,25.37,,26,
20171003,BK1-6,Dark,31,605,-56.1,29.67,37.3,,2337.43472
20171003,BK1-6,Light,31,610,-56,29.82,37.3,,2332.848082
20171003,BK1-7,Dark,27,590,-58.3,26.68,37.06,,
20171003,BK1-7,Light,27,605,-57.6,26.77,37.06,,
20171003,BK2-6,Dark,31,610,-56.1,29.65,37.3,,2332.913367
20171003,BK2-6,Light,31,610,-56,30.05,37.3,,2327.699957
20171003,BK2-7,Dark,27,595,-57.8,26.68,37.06,,
20171003,BK2-7,Dark,27,600,-58.6,26.61,37.06,,
20171003,BK2-7,Light,27,605,-56.9,26.98,37.06,,
20171003,OF1-6,Dark,31,570,-50.9,29.57,37.3,,2324.975416
20171003,OF1-6,Light,31,565,-61,30.5,37.3,,2292.151752
20171003,OF1-7,Dark,27,550,-55.9,26.6,37.06,,
20171003,OF1-7,Light,27,550,-59,26.97,37.06,,
20171003,OF2-6,Dark,31,565,-53.5,29.55,37.3,,2340.241565
20171003,OF2-6,Light,31,575,-58.3,29.85,37.3,,2311.657084
20171003,OF2-7,Dark,27,555,-54.5,26.85,37.06,,
20171003,OF2-7,Light,27,550,-59.8,26.96,37.06,,
20171003,OF3-6,Dark,31,590,-54.1,29.66,37.3,,2326.315696
20171003,OF3-6,Light,31,585,-58.9,30.02,37.3,,2308.422354
20171003,OF3-7,Dark,27,575,-54.8,26.5,37.06,,
20171003,OF3-7,Light,27,570,-58.8,26.97,37.06,,
20171003,OF4-6,Dark,31,580,-53,29.7,37.3,,2329.201858
20171003,OF4-6,Light,31,575,-58.5,30.05,37.3,,2304.605371
20171003,OF4-7,Dark,27,590,-56.5,26.7,37.06,,
20171003,OF4-7,Light,27,580,-58.4,26.99,37.06,,
20171003,Start 6a,Dark,31,,-56.2,30.72,37.3,31,2328.843448
20171003,Start 6a,Light,31,,-54.8,30.8,37.3,31,2317.098321
20171003,Start 6b,Dark,31,,-56.1,30.73,37.3,31,
20171003,Start 6b,Light,31,,-56.2,30.5,37.3,31,2322.15447
20171003,Start 6c,Dark,31,,-56,30.87,37.3,31,2336.056859
20171003,Start 6c,Light,31,,-56.3,30.62,37.3,31,
20171003,start 7a,Dark,27,,-58.3,26.93,37.06,27,
20171003,start 7a,Light,27,,-58.7,26.93,37.06,27,
20171003,start 7b,Dark,27,,-58.2,26.95,37.06,27,
20171003,start 7b,Light,27,,-58.6,27.04,37.06,27,
20171003,start 7c ,Dark,27,,-58.2,27.04,37.06,27,
20171003,start 7c ,Light,27,,-58.5,27.06,37.06,27,
20171004,BK1-10,Dark,29,610,-56.4,28.04,37.3,,2316.789112
20171004,BK1-10,Light,29,610,-56.3,28.29,37.3,,2322.942
20171004,BK1-8,Dark,34,590,-57.7,31.72,37.4,,
20171004,BK1-8,Light,34,605,-55.8,31.24,37.4,,
20171004,BK1-9,Dark,32,600,-55.2,30.9,37.51,,
20171004,BK1-9,Light,32,610,-55.6,30.64,37.51,,
20171004,BK2-10,Dark,29,600,-56.2,28.14,37.3,,
20171004,BK2-10,Light,29,605,-56.2,28.3,37.3,,
20171004,BK2-8,Dark,34,610,-56.3,32.38,37.4,,
20171004,BK2-8,Light,34,610,-55.6,32.1,37.4,,
20171004,BK2-9,Dark,32,610,-55.2,30.98,37.51,,
20171004,BK2-9,Light,32,610,-55.9,30.43,37.51,,
20171004,OF1-10,Dark,29,565,-51.2,27.99,37.3,,
20171004,OF1-10,Light,29,570,-60.7,28.45,37.3,,2300.303206
20171004,OF1-8,Dark,34,580,-51.3,32.14,37.4,,
20171004,OF1-8,Light,34,570,-56.6,32.75,37.4,,
20171004,OF1-9,Dark,32,550,-50.8,29.95,37.51,,
20171004,OF1-9,Light,32,555,-60.9,29.9,37.51,,
20171004,OF2-10,Dark,29,595,-55,27.93,37.3,,
20171004,OF2-10,Light,29,585,-58.9,29.23,37.3,,
20171004,OF2-8,Dark,34,545,-52.5,32.53,37.4,,
20171004,OF2-8,Light,34,535,-55.5,32.17,37.4,,
20171004,OF2-9,Dark,32,565,-51.7,30.58,37.51,,
20171004,OF2-9,Light,32,560,-57.6,30.6,37.51,,
20171004,OF3-10,Dark,29,565,-53,27.67,37.3,,2309.840613
20171004,OF3-10,Light,29,570,-60.2,28.2,37.3,,2288.54678
20171004,OF3-8,Dark,34,580,-54.8,32.09,37.4,,
20171004,OF3-8,Light,34,585,-55.3,32.51,37.4,,
20171004,OF3-9,Dark,32,570,-52.8,30.32,37.51,,
20171004,OF3-9,Light,32,570,-57.2,30.78,37.51,,
20171004,OF4-10,Dark,29,590,-53.8,28.26,37.3,,2313.019998
20171004,OF4-10,Light,29,580,-58.1,28.52,37.3,,2324.287085
20171004,OF4-8,Dark,34,585,-53.9,31.92,37.4,,
20171004,OF4-8,Light,34,585,-55.9,31.89,37.4,,
20171004,OF4-9,Dark,32,550,-51.8,30.72,37.51,,
20171004,OF4-9,Light,32,550,-58.4,30.77,37.51,,
20171004,start 10a,Dark,29,,-56.3,29.17,37.3,29,2326.374621
20171004,start 10a,Light,29,,-56.7,28.6,37.3,29,2324.122631
20171004,start 10b,Dark,29,,-56.2,29.17,37.3,29,2317.959442
20171004,start 10b,Light,29,,-56.6,28.95,37.3,29,2323.70772
20171004,start 10c,Dark,29,,-56.2,29.19,37.3,29,
20171004,start 10c,Light,29,,-56.6,29.01,37.3,29,2269.536046
20171004,start 8a,Dark,34,,-56.4,33.4,37.4,33.45,
20171004,start 8a,Light,34,,-55.1,33.76,37.4,33.45,
20171004,start 8b,Dark,34,,-56.2,33.54,37.4,33.45,
20171004,start 8b,Light,34,,-54.8,33.56,37.4,33.45,
20171004,start 8c,Dark,34,,-56.1,33.61,37.4,33.45,
20171004,start 8c,Light,34,,-55.3,33.72,37.4,33.45,
20171004,start 9a,Dark,32,,-55.4,31.55,37.51,32,
20171004,start 9a,Light,32,,-56.2,31.04,37.51,32,
20171004,start 9b,Dark,32,,-55.2,31.67,37.51,32,
20171004,start 9b,Light,32,,-55.5,31.61,37.51,32,
20171004,start 9c,Dark,32,,-55.2,31.67,37.51,32,
20171004,start 9c,Light,32,,-55.4,31.72,37.51,32,
20171020,BK1-11,Dark,36,610,-51.7,33.14,37,,
20171020,BK1-11,Light,36,615,-53.3,33.01,37,,
20171020,BK2-11,Dark,36,610,-51.7,33.31,37,,
20171020,BK2-11,Light,36,605,-53.1,33.15,37,,
20171020,OF1-11,Dark,36,550,-48.8,32.42,37,,
20171020,OF1-11,Light,36,540,-46.9,33.76,37,,
20171020,OF2-11,Dark,36,580,-49.7,33.22,37,,
20171020,OF2-11,Light,36,575,-50.8,33.15,37,,
20171020,OF3-11,Dark,36,595,-50.1,33.22,37,,
20171020,OF3-11,Light,36,590,-50.5,33.05,37,,
20171020,OF4-11,Dark,36,555,-49.4,32.52,37,,
20171020,OF4-11,Light,36,550,-50.3,32.88,37,,
20171020,Start 11a,Dark,36,,-51.3,36.25,37,,
20171020,Start 11a,Dark,36,,-51.1,36.31,37,,
20171020,Start 11a,Dark,36,,-51.2,36.26,37,,
20171020,Start 11a,Light,36,,-52,36.2,37,,
20171020,Start 11a,Light,36,,-51.9,36.31,37,,
20171020,Start 11a,Light,36,,-52,36.3,37,,
