"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,26,"BMU","Bermuda",1,"Devonshire","Parish","Parish",NA,NA
2,26,"BMU","Bermuda",2,"Hamilton Municipality","Municipality","Municipality",NA,NA
3,26,"BMU","Bermuda",3,"Hamilton","Parish","Parish",NA,NA
4,26,"BMU","Bermuda",4,"Paget","Parish","Parish",NA,NA
5,26,"BMU","Bermuda",5,"Pembroke","Parish","Parish",NA,NA
6,26,"BMU","Bermuda",6,"Saint George's","Parish","Parish",NA,"Saint Georges"
7,26,"BMU","Bermuda",7,"Saint George municipality","Municipality","Municipality",NA,"Saint Georges|Saint George's"
8,26,"BMU","Bermuda",8,"Sandys","Parish","Parish",NA,"Sandy's"
9,26,"BMU","Bermuda",9,"Smiths","Parish","Parish",NA,"Smith's"
10,26,"BMU","Bermuda",10,"Southampton","Parish","Parish",NA,NA
11,26,"BMU","Bermuda",11,"Warwick","Parish","Parish",NA,NA
