"","Point est.","Upper C.I.","Neff.p","Point est.","Upper C.I.","Neff.r"
"E.loc[1]",1.00104635440623,1.00467388849889,1915.96775657657,1.00131865087818,1.00357556026763,1774.78638915958
"E.loc[2]",1.00375331883747,1.01232950172638,1195.62117839809,1.00034216740708,1.00197838639466,1912.70507578099
"Eh.loc[1]",1.00042327213541,1.00105534044384,1473.08186716448,1.01114885047608,1.01219323885304,1436.54223111188
"Eh.loc[2]",1.02015399335251,1.04389938870809,501.957683320014,1.00561751944552,1.01166332828133,1493.17086560053
"Tmax[1]",1.00111125553896,1.00400100843348,1714.33298313702,1.00033404268432,1.00129501802057,1515.39265163234
"Tmax[2]",1.00199530623311,1.00596783466932,1093.20456097721,1.00051826128754,1.00193327999094,1585.61838384785
"Topt[1]",0.999839100752017,0.999944472151267,1900.37234017623,1.25610842870044,1.2665017557071,2864.43425262713
"Topt[2]",1.00531679430372,1.0139554315904,557.965072535093,1.00105897297815,1.00257187354193,3118.18378227689
"lnc.geno[1]",1.00047983437564,1.00069971632585,3750,1.00106641491603,1.00132868863047,1707.43644906203
"lnc.geno[2]",1.00050532188327,1.00230582468755,4538.61317037215,1.00083763805298,1.00141113035423,1855.4525676499
"lnc.geno[3]",0.999849152674935,0.999974403845189,3866.25807796598,1.00061088072719,1.00078768303741,1764.00578270597
"lnc.geno[4]",1.00037597986644,1.00196466518615,3750,1.00232513518594,1.00278441045759,1979.09093986808
"lnc.geno[5]",1.00002777134694,1.00007341355204,3917.69641339167,1.00043138200285,1.00098519942404,1745.04255697988
"lnc.geno[6]",1.00030562605746,1.00184451860951,3606.31569725802,1.0007940634768,1.00200495232731,2165.05061071691
"lnc.geno[7]",1.00042952773226,1.00256407441555,3908.51269078254,1.00150456375763,1.00184425086857,1529.35672323609
"lnc.geno[8]",1.00055775061579,1.00207452050327,3744.70899652764,1.00172638286935,1.00187972959979,1747.16968240573
"lnc.loc[1]",1.00095350987552,1.00097194632961,3522.15194794775,1.00145512653762,1.00194182513518,1615.99968123305
"lnc.loc[2]",1.00065645248378,1.00326427458379,3375.9929289299,1.00111598918736,1.00242147954058,1674.05756310149
"lnc.pred[1]",1.00006014404251,1.00029131942873,3622.89266068574,1.0011842859341,1.0015811380974,1594.93600647127
"lnc.pred[2]",1.00167935355763,1.00422988049017,3537.71497769513,1.00090512331924,1.00191465027044,1547.96599881551
"lnc.pred[3]",0.999932458124293,1.0000931211867,3638.32800164947,1.00093396264068,1.0011198554868,1471.33384012183
"lnc.pred[4]",1.001394508054,1.00568023895808,3529.7303003507,1.00156381508684,1.00248556640777,1560.41927278233
"lnc.pred[5]",0.999812923700038,0.999828886387254,3697.2528031505,1.00071810001323,1.00114279923056,1464.71035821173
"lnc.pred[6]",1.00115913707653,1.00527092691676,3040.4884397301,1.00071119572778,1.0018011325639,1639.07288312118
"lnc.pred[7]",1.00034291050874,1.00231602872129,3607.44011745879,1.00135795620268,1.00177802231757,1539.39010010435
"lnc.pred[8]",1.00096949384804,1.00443465803436,3509.76454115603,1.00113080283204,1.00176817901775,1669.29618561099
"sigma[1]",1.0134646846855,1.01529032125091,1935.22794118403,1.00319529664401,1.00451643441121,1669.13413370936
"sigma[2]",1.00182126854599,1.00196414587809,1359.36700843695,1.00713904190984,1.01172051639472,3215.16021088594
"sigma[3]",1.00668283311594,1.01775577441379,738.252880228123,1.02143312320959,1.0288081904263,2970.54470464882
"sigma[4]",1.00208463176739,1.00497284862245,1998.1014564675,1.0119019695378,1.0147416159286,3088.32753800402
"sigma.geno",1.00276878373993,1.00344080983494,3905.2883785182,1.00693459386039,1.01020818505123,3620.796340781
"sigma.obs",1.00058007663566,1.0030926885834,2604.48136512186,1.00039009755362,1.00191384422893,3750
